,state,expend,year
43,Tennessee,3604,1997
44,Texas,3204,1997
45,Utah,2689,1997
46,Vermont,3393,1997
47,Virginia,3113,1997
48,Washington,3168,1997
49,West Virginia,3865,1997
50,Wisconsin,3537,1997
51,Wyoming,3203,1997
0,United States,3406,1996
1,Alabama,3336,1996
2,Alaska,3411,1996
3,Arizona,2801,1996
4,Arkansas,3039,1996
5,California,3130,1996
6,Colorado,3026,1996
7,Connecticut,4237,1996
8,Delaware,3741,1996
9,District of Columbia,5873,1996
10,Florida,3709,1996
11,Georgia,3149,1996
12,Hawaii,3527,1996
13,Idaho,2710,1996
14,Illinois,3476,1996
15,Indiana,3174,1996
16,Iowa,3357,1996
17,Kansas,3391,1996
18,Kentucky,3182,1996
19,Louisiana,3438,1996
20,Maine,3518,1996
21,Maryland,3566,1996
22,Massachusetts,4297,1996
23,Michigan,3463,1996
24,Minnesota,3514,1996
25,Mississippi,3034,1996
26,Missouri,3342,1996
27,Montana,2908,1996
28,Nebraska,3181,1996
29,Nevada,2862,1996
30,New Hampshire,3374,1996
31,New Jersey,3855,1996
32,New Mexico,2905,1996
33,New York,4215,1996
34,North Carolina,3157,1996
35,North Dakota,3636,1996
36,Ohio,3536,1996
37,Oklahoma,3171,1996
38,Oregon,2935,1996
39,Pennsylvania,3813,1996
40,Rhode Island,3869,1996
41,South Carolina,3026,1996
42,South Dakota,3280,1996
43,Tennessee,3434,1996
44,Texas,3017,1996
45,Utah,2492,1996
46,Vermont,3189,1996
47,Virginia,2956,1996
48,Washington,3081,1996
49,West Virginia,3638,1996
50,Wisconsin,3385,1996
51,Wyoming,3024,1996
0,United States,3266,1995
1,Alabama,3163,1995
2,Alaska,3109,1995
3,Arizona,2717,1995
4,Arkansas,2896,1995
5,California,3056,1995
6,Colorado,2915,1995
7,Connecticut,4106,1995
8,Delaware,3638,1995
9,District of Columbia,5659,1995
10,Florida,3547,1995
11,Georgia,3040,1995
12,Hawaii,3319,1995
13,Idaho,2553,1995
14,Illinois,3340,1995
15,Indiana,3128,1995
16,Iowa,3168,1995
17,Kansas,3217,1995
18,Kentucky,2989,1995
19,Louisiana,3329,1995
20,Maine,3259,1995
21,Maryland,3407,1995
22,Massachusetts,4108,1995
23,Michigan,3291,1995
24,Minnesota,3355,1995
25,Mississippi,2850,1995
26,Missouri,3179,1995
27,Montana,2850,1995
28,Nebraska,2958,1995
29,Nevada,2785,1995
30,New Hampshire,3146,1995
31,New Jersey,3749,1995
32,New Mexico,2740,1995
33,New York,4021,1995
34,North Carolina,2959,1995
35,North Dakota,3490,1995
36,Ohio,3335,1995
37,Oklahoma,2996,1995
38,Oregon,2833,1995
39,Pennsylvania,3721,1995
40,Rhode Island,3748,1995
41,South Carolina,2899,1995
42,South Dakota,3075,1995
43,Tennessee,3267,1995
44,Texas,2871,1995
45,Utah,2334,1995
46,Vermont,3045,1995
47,Virginia,2795,1995
48,Washington,3013,1995
49,West Virginia,3457,1995
50,Wisconsin,3202,1995
51,Wyoming,2841,1995
0,United States,3117,1994
1,Alabama,2991,1994
2,Alaska,2865,1994
3,Arizona,2677,1994
4,Arkansas,2731,1994
